QUADRO	CÓDIGO DO PRODUTO	DESCRIÇÃO DO PRODUTO
9	907601	CONSERTO DE SECADOR DE CABELOS (MAO-DE-OBRA)
9	907701	CONSERTO DE MICROONDAS (PECA+MAO-DE-OBRA)
9	907801	CONSERTO DE MICROONDAS (PECA)
9	907901	CONSERTO DE MICROONDAS (MAO-DE-OBRA)
9	908001	CONSERTO DE VIDEO GAME (PECA+MAO-DE-OBRA)
9	908101	CONSERTO DE VIDEO GAME (PECA)
9	908201	CONSERTO DE VIDEO GAME (MAO-DE-OBRA)
9	908301	CONSERTO DE CENTRIFUGA (PECA+MAO-DE-OBRA)
9	908401	CONSERTO DE CENTRIFUGA (PECA)
9	908501	CONSERTO DE CENTRIFUGA (MAO-DE-OBRA)
9	908601	CONSERTO DE IMPRESSORA (PECA+MAO-DE-OBRA)
9	908701	CONSERTO DE IMPRESSORA (PECA)
9	908801	CONSERTO DE IMPRESSORA (MAO-DE-OBRA)
9	908901	CONSERTO DE CONTROLE REMOTO (PECA+MAO-DE-OBRA)
9	909001	CONSERTO DE CONTROLE REMOTO (PECA)
9	909101	CONSERTO DE CONTROLE REMOTO (MAO-DE-OBRA)
9	909201	CONSERTO DE APARELHO DE DVD OU BLUE-RAY (PECA+MAO-DE-OBRA)
9	909301	CONSERTO DE APARELHO DE DVD OU BLUE-RAY (PECA)
9	909401	CONSERTO DE APARELHO DE DVD OU BLUE-RAY (MAO-DE-OBRA)
9	909501	CONSERTO DE BOMBA DE AGUA ELETRICA (PECA+MAO-DE-OBRA)
9	909601	CONSERTO DE BOMBA DE AGUA ELETRICA (PECA)
9	909701	CONSERTO DE BOMBA DE AGUA ELETRICA (MAO-DE-OBRA)
9	909801	CONSERTO DE TELEFONE FIXO (PECA+MAO-DE-OBRA)
9	909901	CONSERTO DE TELEFONE FIXO (PECA)
9	910001	CONSERTO DE TELEFONE FIXO (MAO-DE-OBRA)
9	910101	ALUGUEL DE TELEVISAO
9	910201	ALUGUEL DE MICROCOMPUTADOR
9	910301	ALUGUEL DE FREEZER
9	910401	ALUGUEL DE FILMADORA
9	910501	ALUGUEL DE APARELHO DE KARAOKE OU VIDEOKE
9	910502	ALUGUEL DE APARELHO DE KARAOKE
9	910503	ALUGUEL DE APARELHO DE VIDEOKE
9	910601	ALUGUEL DE FILTRO DE AGUA ELETRICO
9	910701	ALUGUEL DE MAQUINA DE LAVAR PEDRAS
9	910801	ALUGUEL DE INSTRUMENTO MUSICAL
9	910901	CONSERTO DE CLIMATIZADOR (PECA + MAO DE OBRA)
9	911001	CONSERTO DE CLIMATIZADOR (PECA)
9	911101	CONSERTO DE CLIMATIZADOR (MAO DE OBRA)
9	911201	CONSERTO DE BEBEDOURO ELETRICO (PECA + MAO DE OBRA)
9	911301	CONSERTO DE BEBEDOURO ELETRICO (PECA)
9	911401	CONSERTO DE BEBEDOURO ELETRICO (MAO DE OBRA)
9	911501	CONSERTO DE PURIFICADOR DE AGUA (PECA + MAO DE OBRA)
9	911601	CONSERTO DE PURIFICADOR DE AGUA (PECA)
9	911701	CONSERTO DE PURIFICADOR DE AGUA (MAO DE OBRA)
9	911801	CONSERTO DE CAFETEIRA ELETRICA (PECA + MAO DE OBRA)
9	911901	CONSERTO DE CAFETEIRA ELETRICA (PECA)
9	912001	CONSERTO DE CAFETEIRA ELETRICA (MAO DE OBRA)
9	912101	CONSERTO DE FRITADEIRA ELETRICA (PECA + MAO DE OBRA)
9	912201	CONSERTO DE FRITADEIRA ELETRICA (PECA)
9	912301	CONSERTO DE FRITADEIRA ELETRICA (MAO DE OBRA)
9	912401	CONSERTO DE PANELA ELETRICA (PECA + MAO DE OBRA)
9	912501	CONSERTO DE PANELA ELETRICA (PECA)
9	912601	CONSERTO DE PANELA ELETRICA (MAO DE OBRA)
9	912701	CONSERTO DE SISTEMA DE VIDEO MONITORAMENTO E CAMERA DE SEGURANCA (PECA + MAO DE OBRA)
